stock_name,stock_symbol,period,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,debt_ratio,interest_coverage,current_ratio,quick_ratio,accounts_turnover,inventory_turnover,eps,book_value_per_share,date
福壽,1219,Q,8.8,1.94,1.5,1.42,52.58,4.54,159.74,81.54,2.3,1.6,0.19,13.83,2023-03-01 00:00:00
福懋油,1225,Q,5.96,1.98,1.64,1.6,54,4.82,157.96,97.87,1.96,1.89,0.3,16.18,2023-03-01 00:00:00
福壽,1219,Q,6.58,0.14,0.3,0.3,56.85,2.15,149.43,79.16,2.25,1.47,0.05,13.63,2022-12-01 00:00:00
福壽,1219,Q,5.12,-1.5,-0.83,-0.78,57.37,-1.93,156.4,73.49,2.21,1.36,-0.1,13.57,2022-09-01 00:00:00
福壽,1219,Q,9.96,3.21,3.13,2.93,56.61,12.68,152.37,73.2,2.31,1.62,0.42,13.67,2022-06-01 00:00:00
福壽,1219,Q,12.58,5.42,4.58,4.23,49.01,27.22,189.64,106.71,2.31,1.94,0.63,14.36,2022-03-01 00:00:00
統一,1216,Q,32.48,5.16,5.87,3.94,63.66,14.3,111.81,80.76,6.28,1.77,0.88,22.93,2023-03-01 00:00:00
統一,1216,Q,31.15,3.85,3.24,2.19,65.14,8.81,111.67,78.98,5.75,1.8,0.45,22.12,2022-12-01 00:00:00
統一,1216,Q,31.97,6.35,5.97,4.68,65.59,18.37,107.16,78.41,6.34,2.16,0.97,21.57,2022-09-01 00:00:00
統一,1216,Q,32.04,5.45,5.72,4.06,67.5,18.01,103.49,76.92,6.16,2.03,0.85,19.97,2022-06-01 00:00:00
統一,1216,Q,32.63,6.41,5.19,3.45,63.04,17.08,111.71,80.47,6.04,1.86,0.75,21.87,2022-03-01 00:00:00
泰山,1218,Q,10.98,-4.06,-2.64,-0.56,16.05,-10.37,468.45,401.92,1.93,1.68,-0.14,25.9,2023-03-01 00:00:00
福懋油,1225,Q,4.16,0.33,0.31,0.32,59.2,1.76,144.06,82.12,2,1.75,0.13,15.88,2022-12-01 00:00:00
福懋油,1225,Q,2.53,-1.1,-0.48,-0.49,58.46,-0.51,132.09,71.36,1.97,1.66,-0.05,15.72,2022-09-01 00:00:00
福懋油,1225,Q,8.9,4.43,4.11,3.95,60.23,15.31,133.67,73.21,2,1.64,0.67,15.76,2022-06-01 00:00:00
福懋油,1225,Q,11.25,6.33,5.62,4.96,52.27,36.22,139.83,76.56,1.9,1.69,0.94,16.7,2022-03-01 00:00:00
卜蜂,1215,Q,14.17,7.76,5.68,4.31,62.27,10.1,99.52,37.89,2.46,2.4,1.43,30.8,2023-03-01 00:00:00
卜蜂,1215,Q,12.52,6.25,4.77,3.99,64.05,10.09,98.15,40.3,2.55,2.84,1.22,30.52,2022-12-01 00:00:00
卜蜂,1215,Q,13,6.5,5.29,4.34,63.59,13.4,96.35,39.66,2.53,2.82,1.28,28.82,2022-09-01 00:00:00
卜蜂,1215,Q,15.35,9,7.19,5.62,64.8,19.58,92.29,36.88,2.46,2.57,1.82,30.64,2022-06-01 00:00:00
卜蜂,1215,Q,12.83,6.09,4.29,3.54,62.58,15.81,86.08,34.22,2.59,3.11,1.22,31.33,2022-03-01 00:00:00
福壽,1219,Y,8.56,1.82,1.8,6.86,56.85,7.63,149.43,79.16,8.95,6.96,1,13.63,2022-12-01 00:00:00
統一,1216,Y,31.94,5.53,5.05,14.22,65.14,15.17,111.67,78.98,24.65,7.18,3.02,22.12,2022-12-01 00:00:00
泰山,1218,Q,7.61,-20.04,209.56,56.28,24.54,673.14,313.77,261.7,1.6,1.77,11.28,25.83,2022-12-01 00:00:00
泰山,1218,Q,14.5,0.41,5,2.29,35.4,23.18,156.43,100.83,1.91,2.06,0.32,14.26,2022-09-01 00:00:00
泰山,1218,Q,14.44,0.85,4.85,1.98,33.7,24.87,168.47,99.53,1.97,1.98,0.27,13.93,2022-06-01 00:00:00
泰山,1218,Q,15.38,3.74,5.44,2.05,38.91,29.36,155.2,98.46,1.93,2.65,0.29,13.66,2022-03-01 00:00:00
亞泥,1102,Q,10.3,7.59,14.4,1.52,46.07,8.78,143.06,130.64,1.43,2.06,0.81,44.12,2023-03-01 00:00:00
亞泥,1102,Q,7.58,4.43,2.63,0.35,43.18,3.29,157.05,142.49,1.73,2.5,0.18,45.35,2022-12-01 00:00:00
亞泥,1102,Q,12.72,9.13,20.59,2.49,43.41,14.93,157.85,140.83,1.56,2.1,1.33,45.55,2022-09-01 00:00:00
亞泥,1102,Q,16.95,12.38,19.31,2.57,45.44,23.44,142.81,128.37,1.79,2.3,1.35,43.63,2022-06-01 00:00:00
亞泥,1102,Q,14.54,12.04,13.28,1.47,41.15,16.26,161.13,143.04,1.47,1.99,0.76,46.51,2022-03-01 00:00:00
泰山,1218,Y,13.06,-3.54,53.47,60.52,24.54,230.94,313.77,261.7,7.72,8.44,12.17,25.83,2022-12-01 00:00:00
福懋油,1225,Y,6.55,2.36,2.27,8.99,59.2,8.68,144.06,82.12,7.61,7.11,1.69,15.88,2022-12-01 00:00:00
台榮,1220,Q,7.79,-1.69,-0.07,-0.02,18.59,-1.79,458.74,257.25,0.94,0.87,-0.04,12.54,2023-03-01 00:00:00
台榮,1220,Q,7.8,0.81,1.46,0.59,24.01,6.97,326.29,185.82,1.32,1.22,0.06,12.58,2022-12-01 00:00:00
台榮,1220,Q,5.47,-1.54,-0.47,-0.17,27.57,-0.84,279.6,157.33,1.27,1.27,-0.08,12.52,2022-09-01 00:00:00
台榮,1220,Q,10.01,3.1,2.31,0.76,26.53,34.59,293.92,192.63,1.28,1.39,0.1,12.62,2022-06-01 00:00:00
台榮,1220,Q,12.15,5.17,5.16,1.62,16.83,91.48,562.4,395.06,1.23,1.34,0.19,13.52,2022-03-01 00:00:00
台榮,1220,Y,8.73,1.76,2.02,2.85,24.01,18.11,326.29,185.82,4.71,4.74,0.26,12.58,2022-12-01 00:00:00
亞泥,1102,Y,12.9,9.41,13.82,6.91,43.18,12.73,157.05,142.49,6.41,9.08,3.63,45.35,2022-12-01 00:00:00
卜蜂,1215,Y,13.39,6.92,5.35,17.15,64.05,14.08,98.15,40.3,9.56,11.09,5.28,30.52,2022-12-01 00:00:00
嘉泥,1103,Q,9.62,-8.63,3.97,0.12,38.4,1.53,303.7,297,2.61,4.12,0.03,34.45,2023-03-01 00:00:00
嘉泥,1103,Q,11.79,-10.79,5.52,0.17,39.58,1.98,302.94,294.74,2.75,3.42,0.05,32.95,2022-12-01 00:00:00
嘉泥,1103,Q,7.71,-19.23,50.52,1.29,39.09,8.22,310.85,301.58,2.71,3.13,0.41,32.98,2022-09-01 00:00:00
嘉泥,1103,Q,-0.81,-22.32,-81.44,-1.72,39.34,-8.99,279.75,272.58,2.49,5.66,-0.62,33.38,2022-06-01 00:00:00
嘉泥,1103,Q,2.99,-19.56,-15.07,-0.29,35.14,-0.3,398.36,393.97,2.3,12.21,-0.12,39.61,2022-03-01 00:00:00
嘉泥,1103,Y,5.88,-17.54,-7.72,-0.73,39.58,0.28,302.94,294.74,9.24,19.37,-0.28,32.95,2022-12-01 00:00:00
大成,1210,Q,11.87,3.95,3.3,3.04,50.58,7.06,99.83,47.61,3.37,2.39,0.9,25.78,2023-03-01 00:00:00
大成,1210,Q,10.01,3.01,2.59,2.73,53.65,5.92,98.25,46.26,3.68,2.74,0.71,24.66,2022-12-01 00:00:00
大成,1210,Q,9.73,2.48,2.5,2.65,53.31,7.46,97.92,51.37,3.61,2.81,0.62,24.47,2022-09-01 00:00:00
大成,1210,Q,10.31,2.77,2.5,2.43,54.95,9.38,97.92,46.59,3.2,2.49,0.64,23.65,2022-06-01 00:00:00
大成,1210,Q,10.09,2.52,2.47,2.28,53.43,14.52,96.96,49.82,3.23,2.65,0.69,24.39,2022-03-01 00:00:00
黑松,1234,Q,23.06,5.18,7.5,1.05,20.72,57.25,346.01,103.41,3.6,0.36,0.47,44.33,2023-03-01 00:00:00
黑松,1234,Q,26.5,5.01,7.41,1.05,19.39,51.69,402.32,121.39,2.75,0.34,0.48,45.65,2022-12-01 00:00:00
黑松,1234,Q,33.1,11.61,13.42,2.18,22.41,111.62,304.79,91.33,3.11,0.34,0.97,45.19,2022-09-01 00:00:00
黑松,1234,Q,29.09,5.26,8.84,0.98,23.55,92.18,273.2,76.2,3.04,0.26,0.44,44.21,2022-06-01 00:00:00
黑松,1234,Q,21.67,1.02,6.13,0.69,18.98,71.84,417.09,117.84,3.21,0.3,0.31,45.48,2022-03-01 00:00:00
黑松,1234,Y,28.03,6.22,9.27,4.86,19.39,80.49,402.32,121.39,12.52,1.29,2.21,45.65,2022-12-01 00:00:00
天仁,1233,Q,58.19,7.54,6.07,2.18,37.27,21.78,123.46,75.17,2.58,0.82,0.35,15.42,2023-03-01 00:00:00
天仁,1233,Q,57.16,6.02,4.5,1.61,36.72,17.84,129.47,78.02,2.55,0.81,0.26,16.41,2022-12-01 00:00:00
天仁,1233,Q,55.99,-0.11,1.66,0.53,37.72,5.79,126.94,74.84,2.49,0.74,0.08,15.67,2022-09-01 00:00:00
天仁,1233,Q,52.8,-5.92,0.77,0.22,39.54,-0.73,125.35,80.28,2.2,0.77,0.03,15.49,2022-06-01 00:00:00
天仁,1233,Q,57.56,2.83,3.85,1.18,34.3,15.63,143.89,94.4,2.05,0.78,0.19,16.49,2022-03-01 00:00:00
大成,1210,Y,10.03,2.7,2.52,10.06,53.65,8.21,98.25,46.26,14.12,10.69,2.59,24.66,2022-12-01 00:00:00
天仁,1233,Y,56,1.07,2.81,3.5,36.72,9.42,129.47,78.02,7.79,3.02,0.57,16.41,2022-12-01 00:00:00
地球,1324,Q,20.12,3.73,2.9,0.71,20.31,822.82,357.29,260.11,1.32,0.93,0.09,12.6,2023-03-01 00:00:00
地球,1324,Q,19.3,3.85,3.86,1,18.94,840,380.23,276.01,1.43,0.95,0.13,12.69,2022-12-01 00:00:00
地球,1324,Q,13.82,-1.7,-0.44,-0.1,20.59,29.32,374.42,265.43,1.23,0.89,-0.01,12.46,2022-09-01 00:00:00
地球,1324,Q,14.31,-0.87,-0.51,-0.14,21.77,39.87,349.59,251.88,1.32,0.96,-0.02,12.45,2022-06-01 00:00:00
地球,1324,Q,15.1,-0.95,-0.9,-0.24,22.09,-5.06,342.71,228.55,1.22,0.85,-0.03,12.72,2022-03-01 00:00:00
地球,1324,Y,15.64,0.09,0.49,0.5,18.94,200.53,380.23,276.01,4.93,3.65,0.06,12.69,2022-12-01 00:00:00
聯華食,1231,Q,21.66,9.06,8.38,4.4,50.85,24.88,178.09,107.93,1.34,1.4,1.04,24.02,2023-03-01 00:00:00
聯華食,1231,Q,23.64,12.41,8.8,5.26,50.83,31.16,156.82,96.45,1.42,1.45,1.18,22.98,2022-12-01 00:00:00
聯華食,1231,Q,22.45,10.15,8.3,4.84,51.16,26.56,121.55,72.03,1.45,1.41,1.04,21.77,2022-09-01 00:00:00
聯華食,1231,Q,22.82,10.01,6.32,3.27,52.15,25.73,118.95,73.62,1.32,1.35,0.69,23.03,2022-06-01 00:00:00
聯華食,1231,Q,23.98,10.92,8.71,4.7,49.85,39.57,133.43,84.43,1.28,1.45,1.09,23.68,2022-03-01 00:00:00
聯華食,1231,Y,23.22,10.93,8.09,17.89,50.83,30.21,156.82,96.45,4.97,5.84,3.89,22.98,2022-12-01 00:00:00
大統益,1232,Q,11.08,6.94,5.77,6.57,25.64,173.78,385.32,189.87,4.95,1.69,2.17,34.38,2023-03-01 00:00:00
大統益,1232,Q,8.67,5.2,3.7,5.04,28.71,92.4,335.93,133.27,5.38,1.97,1.55,32.2,2022-12-01 00:00:00
大統益,1232,Q,4.66,1.15,2.26,2.78,25.95,57.88,383.4,156.35,5.3,1.81,0.78,30.49,2022-09-01 00:00:00
大統益,1232,Q,11.45,7.65,6.5,7.49,33.68,361.85,271.51,108.18,5.2,1.68,2.36,29.73,2022-06-01 00:00:00
大統益,1232,Q,14.68,10.3,8.55,9.36,24.96,500.68,379.31,182.55,5.04,1.83,2.98,33.37,2022-03-01 00:00:00
大統益,1232,Y,9.74,5.97,5.14,24.79,28.71,175.75,335.93,133.27,19.94,7.47,7.66,32.2,2022-12-01 00:00:00
炎洲,4306,Q,15.33,4.29,3.46,0.87,60.54,3.73,143.78,63.04,1.26,0.29,0.15,17.84,2023-03-01 00:00:00
炎洲,4306,Q,16.98,4.71,8.54,0.96,59.95,3.13,158.04,69.37,1.21,0.3,0.4,18.37,2022-12-01 00:00:00
炎洲,4306,Q,17.8,7.11,7.98,3.18,62.36,10.02,145.35,51.66,1.2,0.34,0.43,17.66,2022-09-01 00:00:00
炎洲,4306,Q,18.49,8.66,5.58,2.86,63.97,11.32,142.09,52.47,1.3,0.39,0.34,17.02,2022-06-01 00:00:00
炎洲,4306,Q,17.21,7.57,8.98,3.21,64.79,12.43,136.27,54.16,1.21,0.38,0.55,16.96,2022-03-01 00:00:00
炎洲,4306,Y,17.66,7.16,7.69,9.89,59.95,9.18,158.04,69.37,5.23,1.44,1.72,18.37,2022-12-01 00:00:00
信大,1109,Q,19.83,13.99,12.48,1.71,14.89,614.39,430.83,343.5,1.36,0.99,0.42,23.23,2023-03-01 00:00:00
信大,1109,Q,23.51,18.08,9.06,1.61,15.9,1051.21,402.71,335.14,1.72,1.46,0.34,22.76,2022-12-01 00:00:00
信大,1109,Q,15.73,10.83,14.87,2.63,15.47,912.47,389.44,335.17,1.75,1.54,0.63,22.56,2022-09-01 00:00:00
信大,1109,Q,21.13,16.57,0.22,0.04,19.98,1842.62,299.12,248.41,1.53,1.41,-0.06,21.85,2022-06-01 00:00:00
信大,1109,Q,17.04,10.32,8.9,1.1,12.12,1038.09,507.22,429.54,0.75,1.12,0.26,23.55,2022-03-01 00:00:00
信大,1109,Y,19.56,14.26,8.1,5.31,15.9,1142.1,402.71,335.14,4.27,5.36,1.17,22.76,2022-12-01 00:00:00
台泥,1101,Q,9.39,0.63,3.82,0.42,47.99,2.79,221.73,189.75,0.8,1.5,0.2,30.02,2023-03-01 00:00:00
台泥,1101,Q,14.95,6.74,7.51,1.13,48.29,5.36,233.51,205,1.01,1.75,0.36,29.64,2022-12-01 00:00:00
台泥,1101,Q,7.37,2.02,5.26,0.74,51.68,3.59,233.52,202.82,0.99,1.6,0.17,29.05,2022-09-01 00:00:00
台泥,1101,Q,0.08,-7.97,-3.74,-0.41,51.59,0.34,209.78,181.69,0.8,1.58,-0.02,31.71,2022-06-01 00:00:00
台泥,1101,Q,9.08,0.9,3.73,0.37,47.94,3.23,165.09,146.99,0.66,1.55,0.2,34.01,2022-03-01 00:00:00
台泥,1101,Y,8.41,1.02,3.65,1.79,48.29,3.32,233.51,205,3.21,7.07,0.74,29.64,2022-12-01 00:00:00
佳格,1227,Q,22.85,4.92,4.53,1.48,29.05,22.55,243.27,140.84,1.37,0.8,0.29,19.68,2023-03-01 00:00:00
佳格,1227,Q,19.82,3.28,2.57,1.23,36.08,16.13,200.45,127.07,1.78,1.23,0.26,19.28,2022-12-01 00:00:00
佳格,1227,Q,23.43,7.25,6.79,2.99,32.93,35.34,221.12,136.51,1.77,0.96,0.54,19.08,2022-09-01 00:00:00
佳格,1227,Q,23.35,3.42,2.84,0.94,38.76,16.03,192.94,114.07,1.46,0.74,0.18,18.45,2022-06-01 00:00:00
佳格,1227,Q,21.86,5.97,4.95,1.78,29.22,53.26,264.91,161.18,1.36,0.93,0.36,20.4,2022-03-01 00:00:00
佳格,1227,Y,21.98,4.99,4.3,6.85,36.08,27,200.45,127.07,5.4,3.97,1.34,19.28,2022-12-01 00:00:00
味王,1203,Q,25.83,10.74,7.82,1.85,33.57,32.66,246.44,113.67,3.31,0.56,0.33,23.69,2023-03-01 00:00:00
味王,1203,Q,26.57,10.99,8.6,2.24,34.25,41.9,243.06,106.56,3.32,0.62,0.37,23.28,2022-12-01 00:00:00
味王,1203,Q,27.55,12.25,26.83,6.89,35.04,106.65,246.69,111.08,3.04,0.66,1.5,22.66,2022-09-01 00:00:00
味王,1203,Q,26.63,10.33,5.33,1.33,37.1,37.24,220.38,109.03,3.22,0.73,0.17,21.88,2022-06-01 00:00:00
味王,1203,Q,33.87,18.93,15.26,3.64,32.77,84.55,272.81,143.78,3.34,0.68,0.59,23.06,2022-03-01 00:00:00
味王,1203,Y,28.58,13.05,13.93,13.87,34.25,66.71,243.06,106.56,13.34,2.58,2.63,23.28,2022-12-01 00:00:00
愛之味,1217,Q,27.12,4.12,6,0.93,46.08,3.67,81.07,50.01,1.52,0.91,0.13,13.76,2023-03-01 00:00:00
愛之味,1217,Q,27.69,-4.87,-1.27,-0.16,45.35,-0.45,89.52,51.81,0.95,0.75,-0.03,13.66,2022-12-01 00:00:00
愛之味,1217,Q,30.11,6.88,16.28,3.61,47.39,10.12,97.28,65.58,1.49,1.19,0.52,13.36,2022-09-01 00:00:00
愛之味,1217,Q,31.49,3.83,-1.59,-0.24,48.4,0.79,89.61,53.89,1.29,0.8,-0.04,12.96,2022-06-01 00:00:00
愛之味,1217,Q,30.06,5.73,4.85,0.73,46.05,3.49,92.56,53.9,1.52,0.94,0.1,13.66,2022-03-01 00:00:00
愛之味,1217,Y,29.93,3.57,5.99,3.86,45.35,3.54,89.52,51.81,6.89,3.8,0.56,13.66,2022-12-01 00:00:00
大飲,1213,Q,-4.26,-17.58,-21.75,-5.4,66.42,-4.11,51.87,41.67,1.02,5.05,-0.34,6.12,2023-03-01 00:00:00
大飲,1213,Q,-0.3,-12.57,-15.26,-3.91,65.43,-3.12,63.03,50.34,1,4.6,-0.26,6.46,2022-12-01 00:00:00
大飲,1213,Q,-0.09,-13.97,-16.11,-4.33,64.15,-4.04,68.07,52.79,1.16,4.48,-0.3,6.72,2022-09-01 00:00:00
大飲,1213,Q,-4.09,-16.5,-18.97,-4.34,62.99,-4.62,76.96,54.29,0.86,3.88,-0.31,7.02,2022-06-01 00:00:00
大飲,1213,Q,-7.61,-25.25,-26.51,-6.25,62.94,-9.11,90.86,73.25,0.77,3.96,-0.47,7.33,2022-03-01 00:00:00
大飲,1213,Y,-3.01,-17.11,-19.24,-18.77,65.43,-5,63.03,50.34,3.5,16.12,-1.34,6.46,2022-12-01 00:00:00
幸福,1108,Q,18.43,13.3,11.64,2.65,51.43,11.31,167.06,45.03,1.07,0.22,0.31,11.64,2023-03-01 00:00:00
幸福,1108,Q,33.75,26.29,22.98,5.81,49.23,24.87,169.69,45.15,1.27,0.2,0.68,12.12,2022-12-01 00:00:00
幸福,1108,Q,20.69,13.83,12.51,2.92,50.08,13.74,146.45,41.31,1.21,0.22,0.33,11.39,2022-09-01 00:00:00
幸福,1108,Q,22.29,16.22,11.66,2.61,48.64,16.49,151.08,40.75,1.25,0.21,0.29,11.13,2022-06-01 00:00:00
幸福,1108,Q,16.05,9.72,6.23,1.21,44.99,8.83,158.21,39.45,1.2,0.2,0.14,11.01,2022-03-01 00:00:00
幸福,1108,Y,23.88,17.15,14.01,12.17,49.23,16.62,169.69,45.15,4.79,0.82,1.44,12.12,2022-12-01 00:00:00
華夏,1305,Q,18.51,9.99,6.72,2.5,39.76,25.74,261.18,154.95,2.69,1.17,0.4,16.66,2023-03-01 00:00:00
華夏,1305,Q,7.46,-2.1,-1.07,-0.37,39.81,-5.55,217.3,128.72,2.47,1.23,-0.09,16.26,2022-12-01 00:00:00
華夏,1305,Q,-14.65,-24.43,-17.88,-6.91,39.49,-114.88,220.98,126.15,2.6,1.44,-1.17,16.16,2022-09-01 00:00:00
華夏,1305,Q,5.15,-3.71,-1.79,-0.75,37.17,-30.09,191.29,94.53,2.94,1.29,-0.15,17.3,2022-06-01 00:00:00
華夏,1305,Q,14.15,4.56,9.4,4.13,28.21,196.34,295.17,162.94,2.87,1.39,0.78,20,2022-03-01 00:00:00
華夏,1305,Y,3.84,-5.58,-1.91,-3.09,39.81,-18.29,217.3,128.72,10.18,5.99,-0.64,16.26,2022-12-01 00:00:00
雋揚,1439,Q,26.73,5.78,62.75,1.98,42.41,17.92,176.43,48.49,3.18,0.03,0.54,25.42,2023-03-01 00:00:00
雋揚,1439,Q,23.3,6.45,-7.17,-0.29,41.63,1.11,184.56,43.9,4.18,0.05,-0.15,24.7,2022-12-01 00:00:00
雋揚,1439,Q,22.15,11.6,23.3,4.03,35.04,14.2,225.66,66.39,30.37,0.28,0.61,25.13,2022-09-01 00:00:00
雋揚,1439,Q,0,0,0,0.54,22.82,-4.36,245.44,108.23,-6.37,-0.06,0.23,24.22,2022-06-01 00:00:00
雋揚,1439,Q,16.79,-0.41,34.03,1.03,32.29,12.58,257.33,117.22,3.68,0.06,0.31,25.03,2022-03-01 00:00:00
雋揚,1439,Y,21.77,7.16,25.18,4.68,41.63,14.89,184.56,43.9,20.99,0.25,1,24.7,2022-12-01 00:00:00
味全,1201,Q,27.05,2.28,2.67,1.77,61.31,5.21,99.38,68.28,1.92,2.18,0.25,14.32,2023-03-01 00:00:00
味全,1201,Q,25.22,-1.77,-1.81,-1.19,58.92,-3.27,92.21,58.15,1.76,2.31,-0.17,14.28,2022-12-01 00:00:00
味全,1201,Q,28.19,2.69,2.44,1.96,60.54,7.1,97.71,66.76,1.95,2.62,0.28,14.33,2022-09-01 00:00:00
味全,1201,Q,28.03,2.96,1.84,1.28,63.19,4.38,90.19,62.3,1.75,2.24,0.18,13.96,2022-06-01 00:00:00
味全,1201,Q,28.56,2.6,2.12,1.37,62.4,5.65,95.45,65.33,1.74,2.23,0.19,13.88,2022-03-01 00:00:00
味全,1201,Y,27.53,1.67,1.21,3.38,58.92,3.49,92.21,58.15,7.75,9.86,0.47,14.28,2022-12-01 00:00:00
東泥,1110,Q,9.26,2.59,3.66,0.22,27.76,2.79,104.86,55.27,1.38,0.46,0.06,15.28,2023-03-01 00:00:00
東泥,1110,Q,4.01,-4.01,16.38,1.07,27.22,15.86,104.41,53,1.55,0.54,0.19,15.15,2022-12-01 00:00:00
東泥,1110,Q,11.09,3.05,10.89,0.61,23.89,12.92,111.38,43.08,1.57,0.44,0.12,14.87,2022-09-01 00:00:00
東泥,1110,Q,-1.77,-13.15,-20.65,-0.74,23.55,-18.67,111.43,43.54,1.07,0.35,-0.1,14.79,2022-06-01 00:00:00
東泥,1110,Q,11.52,3.87,6.23,0.32,21.27,8.75,123.09,47.14,1.34,0.46,0.05,15.23,2022-03-01 00:00:00
聯華,1229,Q,14.6,3.82,40.25,2.16,25.18,25.69,93.01,44.66,1.51,1.41,0.74,25.21,2023-03-01 00:00:00
聯華,1229,Q,10.24,0.67,20.01,1.19,23.57,14.27,106.5,48.49,1.63,1.46,0.41,25.32,2022-12-01 00:00:00
聯華,1229,Q,9.41,-1.97,24.45,1.29,24.88,16.88,104.01,43.17,1.54,1.25,0.44,24.03,2022-09-01 00:00:00
聯華,1229,Q,41.44,34.43,54.09,4.03,25.79,65.01,109.2,64.79,2.49,1.34,0.95,25.17,2022-06-01 00:00:00
聯華,1229,Q,18.05,7.99,54.32,2.48,23.4,60.08,77.59,41.19,1.46,1.24,0.91,27.83,2022-03-01 00:00:00
東泥,1110,Y,6.76,-1.76,6.03,1.24,27.22,7.09,104.41,53,4.99,1.8,0.26,15.15,2022-12-01 00:00:00
聯華,1229,Y,21.84,12.61,39.26,8.81,23.57,34.44,106.5,48.49,6.2,5.59,2.63,25.32,2022-12-01 00:00:00
環泥,1104,Q,18.77,10.56,15.27,1.29,21.54,20.96,126.82,116.58,0.95,3.63,0.42,32.83,2023-03-01 00:00:00
環泥,1104,Q,21.59,14.57,36.37,3.44,22.6,56.73,118.88,109.84,1.03,3.58,0.93,32,2022-12-01 00:00:00
環泥,1104,Q,18.58,11.06,32.59,2.86,23.66,57.42,112.87,101.12,0.98,3.15,0.87,30.82,2022-09-01 00:00:00
環泥,1104,Q,17.88,10.41,10.44,0.89,24.95,27.75,107.88,98.2,1.02,3.38,0.27,29.96,2022-06-01 00:00:00
環泥,1104,Q,19.07,11.2,45.39,3.44,21.83,96.31,122.96,112.09,0.92,3.54,1.06,31,2022-03-01 00:00:00
環泥,1104,Y,19.36,11.92,30.95,10.67,22.6,58.19,118.88,109.84,3.87,16.45,3.12,32,2022-12-01 00:00:00
南紡,1440,Q,-1.27,-10.04,-8.48,-1.68,46.61,-4.47,118.21,67.17,3.23,0.92,-0.29,16.12,2023-03-01 00:00:00
南紡,1440,Q,-2.69,-8.39,-5.62,-1.09,44.37,-5.12,135.47,76.67,3.72,0.85,-0.19,16.67,2022-12-01 00:00:00
南紡,1440,Q,8.14,-1.84,5.92,1.07,43.85,6.04,140.69,70.32,3.09,0.67,0.18,17.02,2022-09-01 00:00:00
南紡,1440,Q,17,6.03,7.66,1.53,44.42,14.86,136.27,71.29,2.93,0.74,0.25,16.78,2022-06-01 00:00:00
南紡,1440,Q,20.58,10,13.26,2.75,45.36,28.35,130.57,76.85,3,0.81,0.46,16.65,2022-03-01 00:00:00
聚陽,1477,Q,25.23,15.53,12.17,6.74,49.29,19.59,157.33,38.33,7.2,1.19,3.92,52.79,2023-03-01 00:00:00
聚陽,1477,Q,29.02,14.47,10.57,5.15,36.78,17.42,211.07,48.36,5.3,1.03,3.21,63.5,2022-12-01 00:00:00
聚陽,1477,Q,23.42,13.66,11.87,7.94,37.11,21.72,213.86,52.69,7.74,1.33,4.59,60.64,2022-09-01 00:00:00
聚陽,1477,Q,25.04,13.19,10.21,5.79,37.73,27.64,206.7,40.8,6.4,0.99,3.03,55.01,2022-06-01 00:00:00
聚陽,1477,Q,26.06,13.97,11.23,6.81,45.46,40.09,173.1,47.51,6.12,1.11,3.69,51.43,2022-03-01 00:00:00
聚陽,1477,Y,25.73,13.81,11.03,24.21,36.78,24.14,211.07,48.36,27.2,4.46,14.53,63.5,2022-12-01 00:00:00
南紡,1440,Y,10.98,1.66,5.42,4.27,44.37,7.62,135.47,76.67,13.37,3.38,0.7,16.67,2022-12-01 00:00:00
儒鴻,1476,Q,28.36,17.36,12.72,3.56,36.8,28.85,158.39,97.75,1.72,1,3.01,77.47,2023-03-01 00:00:00
儒鴻,1476,Q,27.5,15.43,10.38,3.18,24.64,33.87,242.24,133.42,1.73,1.15,2.89,91.64,2022-12-01 00:00:00
儒鴻,1476,Q,29,20.92,20.26,9.29,25.95,150.06,239.69,155.3,1.94,1.32,7.91,89.76,2022-09-01 00:00:00
儒鴻,1476,Q,27.98,20.64,18.17,9.02,32.96,242.13,190.82,117.67,1.95,1.13,7.43,80.44,2022-06-01 00:00:00
儒鴻,1476,Q,26.76,19.7,17.59,8.09,27.26,268.62,234.41,121.55,1.97,0.93,6.53,84.26,2022-03-01 00:00:00
儒鴻,1476,Y,27.85,19.47,17.09,29.34,24.64,125.82,242.24,133.42,9.16,4.44,24.75,91.64,2022-12-01 00:00:00
業旺,1475,Q,24.15,21.3,19.25,6.28,18.87,3853.18,529.75,507.18,0.83,4.27,2.52,16.28,2023-03-01 00:00:00
業旺,1475,Q,24.73,16.56,11.14,3.78,21.26,2066.47,472.5,442.96,0.91,3.53,1.44,15.29,2022-12-01 00:00:00
業旺,1475,Q,25.53,20.7,38,12.2,18.46,6909.88,551.24,512.85,0.92,3.31,4.3,14.72,2022-09-01 00:00:00
業旺,1475,Q,26.76,22.16,30.15,11.03,20.02,17930,502.78,468.58,1.03,3.18,3.46,13.03,2022-06-01 00:00:00
業旺,1475,Q,22.95,19.38,25.61,9.29,21.08,13816,478.01,436.47,1,3.22,2.63,11.67,2022-03-01 00:00:00
業旺,1475,Y,25.03,19.6,25.72,35.94,21.26,7079.49,472.5,442.96,3.75,14.4,11.82,15.29,2022-12-01 00:00:00
弘裕,1474,Q,7.91,-4.24,-3.3,-0.96,45.78,-2.37,205.1,106.5,1.26,0.68,-0.15,16.17,2023-03-01 00:00:00
