stock_name,stock_symbol,period,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,debt_ratio,interest_coverage,current_ratio,quick_ratio,accounts_turnover,inventory_turnover,eps,book_value_per_share,date
第一保,2852,Q,31.51,8.45,6.92,1.56,56.71,0,0,0,0,0,0.38,24.99,2022-03-01 00:00:00
第一保,2852,Y,31.44,9.74,8.06,7.53,57.16,0,0,0,0,0,1.86,25.11,2022-12-01 00:00:00
兆豐金,2886,Q,0,0,58.96,3.5,92.29,0,0,0,0,0,0.77,22.61,2023-03-01 00:00:00
兆豐金,2886,Q,0,0,33.51,1.58,92.62,0,0,0,0,0,0.34,21.51,2022-12-01 00:00:00
兆豐金,2886,Q,0,0,38.5,1.94,93.25,0,0,0,0,0,0.41,21,2022-09-01 00:00:00
兆豐金,2886,Q,0,0,14.66,0.61,93.17,0,0,0,0,0,0.14,21.79,2022-06-01 00:00:00
兆豐金,2886,Q,0,0,42.41,1.84,92.51,0,0,0,0,0,0.44,24.1,2022-03-01 00:00:00
中再保,2851,Q,16.68,14.05,11.98,3.79,66.24,95585.88,0,0,0,0,0.81,21.7,2023-03-01 00:00:00
中再保,2851,Q,5.88,3,3.71,1.15,66.19,30247.6,0,0,0,0,0.29,21.24,2022-12-01 00:00:00
中再保,2851,Q,1.9,-0.23,-1.26,-0.45,73.12,-1878.33,0,0,0,0,-0.11,23.29,2022-09-01 00:00:00
中再保,2851,Q,-11.84,-14.02,-8.11,-3.23,73.67,-170951.8,0,0,0,0,-0.84,23.29,2022-06-01 00:00:00
中再保,2851,Q,15.45,13.35,11.44,3.79,67.47,147638.2,0,0,0,0,1.07,28.51,2022-03-01 00:00:00
中再保,2851,Y,2.38,0.07,1.19,1.51,66.19,1114.29,0,0,0,0,0.41,21.24,2022-12-01 00:00:00
兆豐金,2886,Y,0,0,32.71,5.84,92.62,0,0,0,0,0,1.32,21.51,2022-12-01 00:00:00
台產,2832,Q,38.99,17.44,14.88,2.37,52.52,0,0,0,0,0,0.67,28.98,2023-03-01 00:00:00
台產,2832,Q,29.33,4.51,3.37,0.5,52.39,0,0,0,0,0,0.14,27.46,2022-12-01 00:00:00
台產,2832,Q,40.95,20.02,16.24,2.58,51.85,0,0,0,0,0,0.71,27.25,2022-09-01 00:00:00
台產,2832,Q,49.93,24.3,19.44,2.91,51.68,0,0,0,0,0,0.81,27.63,2022-06-01 00:00:00
台產,2832,Q,24.71,6.79,4.86,0.72,51.71,0,0,0,0,0,0.2,27.99,2022-03-01 00:00:00
台產,2832,Y,36.34,14.05,11.1,6.68,52.39,0,0,0,0,0,1.86,27.46,2022-12-01 00:00:00
台新金,2887,Q,0,0,26.35,2.45,92.71,0,0,0,0,0,0.38,16.13,2023-03-01 00:00:00
台新金,2887,Q,0,0,34.62,3.33,92.66,0,0,0,0,0,0.51,15.52,2022-12-01 00:00:00
台新金,2887,Q,0,0,23.09,2,92.95,0,0,0,0,0,0.28,14.8,2022-09-01 00:00:00
台新金,2887,Q,0,0,16.22,1.2,92.93,0,0,0,0,0,0.17,15.25,2022-06-01 00:00:00
台新金,2887,Q,0,0,12.89,1.07,92.38,0,0,0,0,0,0.15,16.44,2022-03-01 00:00:00
台新金,2887,Y,0,0,22.36,7.41,92.66,0,0,0,0,0,1.09,15.52,2022-12-01 00:00:00
中信金,2891,Q,0,0,57.36,3.3,94.6,0,0,0,0,0,0.66,19.98,2023-03-01 00:00:00
中信金,2891,Q,0,0,-17.42,-0.12,94.91,0,0,0,0,0,-0.05,18.4,2022-12-01 00:00:00
中信金,2891,Q,0,0,22.61,2.27,95.41,0,0,0,0,0,0.4,16.49,2022-09-01 00:00:00
中信金,2891,Q,0,0,19.26,2.05,94.97,0,0,0,0,0,0.36,17.33,2022-06-01 00:00:00
中信金,2891,Q,0,0,28.82,3.71,93.83,0,0,0,0,0,0.84,20.94,2022-03-01 00:00:00
中信金,2891,Y,0,0,23.42,7.72,94.91,0,0,0,0,0,1.55,18.4,2022-12-01 00:00:00
群益證,6005,Q,77.3,27.22,42.9,3.08,80.39,4.56,112.34,94.48,0.34,0,0.51,17.16,2023-03-01 00:00:00
群益證,6005,Q,75.04,16.88,28.25,1.79,79.81,4.05,113.59,96.47,0.33,0,0.27,16.47,2022-12-01 00:00:00
群益證,6005,Q,68.84,6.55,14.85,0.91,81.09,4.09,114.37,96.9,0.21,0,0.11,15.96,2022-09-01 00:00:00
群益證,6005,Q,66.04,-17.87,-13.3,-0.49,80.85,1.69,114.82,97.12,0.12,0,-0.12,15.98,2022-06-01 00:00:00
群益證,6005,Q,80.85,11.69,17.05,0.84,78.82,8.91,117.34,98.99,0.18,0,0.13,18.01,2022-03-01 00:00:00
王道銀行,2897,Q,0,0,42.95,2.02,90.73,0,0,0,0,0,0.27,12.86,2023-03-01 00:00:00
王道銀行,2897,Q,0,0,66.57,6.56,90.65,0,0,0,0,0,1.22,12.45,2022-12-01 00:00:00
王道銀行,2897,Q,0,0,36,1.88,91.62,0,0,0,0,0,0.26,11.3,2022-09-01 00:00:00
王道銀行,2897,Q,0,0,26.76,1.07,91.29,0,0,0,0,0,0.11,11.18,2022-06-01 00:00:00
王道銀行,2897,Q,0,0,38.85,1.62,90.53,0,0,0,0,0,0.21,11.88,2022-03-01 00:00:00
群益證,6005,Y,73.16,6.54,14.34,2.94,79.81,4.18,113.59,96.47,0.94,0,0.39,16.47,2022-12-01 00:00:00
王道銀行,2897,Y,0,0,47.92,10.64,90.65,0,0,0,0,0,1.8,12.45,2022-12-01 00:00:00
高林,2906,Q,28.1,4.25,3.21,0.97,42.73,6.14,151.58,102.29,0.99,1.01,0.02,14.98,2023-03-01 00:00:00
高林,2906,Q,29.09,6.02,3.78,1.31,44.92,10.34,142.79,93.27,0.99,1,0.07,14.84,2022-12-01 00:00:00
高林,2906,Q,24.77,3.55,4.06,1.55,44.56,10.74,121.79,76,1.11,1.13,0.24,14.83,2022-09-01 00:00:00
高林,2906,Q,21.89,4.36,4.13,1.9,44.21,14.47,122.75,79.74,1.43,1.58,0.14,14.71,2022-06-01 00:00:00
高林,2906,Q,27.14,6.51,4.8,1.72,40.42,13.95,131.92,86.98,1.04,1.13,0.18,15.08,2022-03-01 00:00:00
高林,2906,Y,25.43,5.04,4.19,6.49,44.92,12.26,142.79,93.27,4.36,4.8,0.62,14.84,2022-12-01 00:00:00
上海商銀,5876,Q,0,0,46.14,2.29,90.09,0,0,0,0,0,0.88,36.3,2023-03-01 00:00:00
